img_name,panic_meter
image_0201.jpg,45.99
image_201.jpg,77.06
image_202.jpg,99.75
image_0202.jpg,31.5
image_203.jpeg,78.88
image_0203.jpg,62.06
image_204.jpg,69.79
image_0204.jpg,68.96
image_0205.jpg,53.56
image_205.jpg,78.79
image_206.jpeg,58.14
image_0206.jpg,31.49
image_0207.jpg,30.21
image_207.jpg,18.91
image_208.jpg,88.71
image_0208.jpg,26.98
image_0209.jpg,42.84
image_209.jpg,26.36
image_0210.jpg,34.83
image_210.jpg,98.14
image_211.jpg,94.42
image_0211.jpg,69.57
image_212.jpg,69.88
image_0212.jpg,70.07
image_213.jpg,43.54
image_0213.jpg,46.95
image_0214.jpg,45.18
image_214.jpg,85.37
image_215.jpeg,97.73
image_0215.jpg,51.97
image_0216.jpg,65.92
image_216.jpg,93.46
image_0217.jpg,72.24
image_217.png,92.14
image_0218.jpg,64.93
image_218.JPG,58.18
image_0219.jpg,40.91
image_219.jpg,79.83
image_0220.jpg,65.87
image_220.jpg,91.15
image_0221.jpg,33.48
image_221.jpg,92.07
image_222.jpg,96.56
image_0222.jpg,70.65
image_223.jpg,82.89
image_0223.jpg,64.98
image_224.jpg,45.69
image_0224.jpg,35.65
image_0225.jpg,30.48
image_225.jpg,86.85
image_0226.jpg,69.64
image_226.jpg,91.04
image_227.jpg,69.81
image_0227.jpg,50.07
image_0228.jpg,34.58
image_228.jpg,80.71
image_229.jpg,31.44
image_0229.jpg,51.23
image_230.jpg,51.52
image_0230.jpg,60.41
image_0231.jpg,63.25
image_231.jpg,94.03
image_232.jpg,55.54
image_0232.jpg,57.59
image_0233.jpg,30.72
image_233.jpg,99.61
image_234.jpg,99.68
image_0234.jpg,94.62
image_235.jpg,99.5
image_0235.jpg,29.97
image_236.jpg,80.81
image_0236.jpg,57.29
image_0237.jpg,40.9
image_237.jpg,98.53
image_0238.jpg,33.96
image_238.jpg,96.28
image_0239.jpg,64.02
image_239.jpg,69.32
image_0240.jpg,69.53
image_240.png,96.42
image_241.jpg,85.04
image_0241.jpg,70.27
image_242.jpg,94.59
image_0242.jpg,27.21
image_243.jpg,93.95
image_0243.jpg,65.1
image_244.JPG,73.7
image_0244.jpg,58.61
image_0245.jpg,95.09
image_245.jpg,69.61
image_246.jpg,93.66
image_0246.jpg,64.26
image_247.jpg,90.56
image_0247.jpg,60.06
image_0248.jpg,64.12
image_248.jpg,99.25
image_249.jpg,95.75
image_0249.jpg,63.01
image_0250.jpg,63.53
image_250.jpg,92.71
image_0251.jpg,39.94
image_251.png,59.36
image_252.jpg,98.65
image_0252.jpg,51.64
image_0253.jpg,56.68
image_253.jpg,84.9
image_254.jpg,97.01
image_0254.jpg,34.43
image_255.jpeg,63.68
image_0255.jpg,63.59
image_0256.jpg,66.17
image_256.jpg,98.63
image_0257.jpg,84.18
image_257.jpg,98.18
image_258.jpg,95.47
image_0258.jpg,56.46
image_259.jpg,89.42
image_0259.jpg,37.34
image_260.jpg,16.25
image_0260.jpg,62.31
image_261.jpg,82.49
image_0261.jpg,69.78
image_0262.jpg,63.75
image_262.jpg,2.63
image_0263.jpg,56.2
image_263.jpg,96.39
image_0264.jpg,54.08
image_264.jpg,97.33
image_265.jpeg,65.46
image_0265.jpg,57.7
image_0266.jpg,50.35
image_266.jpg,51.91
image_267.jpg,95.35
image_0267.jpg,59.7
image_268.jpg,49.53
image_0268.jpg,61.6
image_269.jpg,43.45
image_0269.jpg,66.95
image_0270.jpg,50.35
image_270.jpg,98.42
image_271.jpg,95.09
image_0271.jpg,45.54
image_272.jpg,67.45
image_0272.jpg,69.4
image_0273.jpg,66.55
image_273.jpg,69.73
image_0274.jpg,35.12
image_274.jpg,85.56
image_275.jpg,75.24
image_0275.jpg,29.92
image_0276.jpg,30.98
image_276.jpg,55.63
image_0277.jpg,69.92
image_277.jpg,48.83
image_278.jpeg,91.6
image_0278.jpg,68.7
image_279.jpeg,42.58
image_0279.jpg,67.67
image_280.jpeg,72.95
image_0280.jpg,36.82
image_281.jpg,64.36
image_0281.jpg,79.06
image_0282.jpg,69.58
image_282.jpg,63.51
image_0283.jpg,69.67
image_283.jpg,69.03
image_0284.jpg,42.93
image_284.jpg,97.6
