Time,City,Sub_city,Text,latitude,longitude,panic_level
2025-09-20 11:40:54+00:00,Mumbai,Mumbai,RT @sanewsdelhi: 🔴 “महाराष्ट्र के सोलापुर ज़िले में राहत के कुछ दिन बाद फिर से भारी बारिश शुरू हो गई है। हालात बिगड़ने से सड़कों पर जलभराव…,19.054999,72.8692035,High
2025-09-20 11:40:54+00:00,Mumbai,Mumbai,RT @SatlokChannel: बाढ़ पीड़ित गाँव में लगातार मदद की जा रही है | #flood #punjab https://t.co/kmEaYCb0vh,19.054999,72.8692035,High
2025-09-20 11:40:53+00:00,Mumbai,Mumbai,"RT @yumomo385: ロシア極東カムチャツカ半島でマグニチュード7.8の強い地震発生‼️

津波警報が発令後、解除されました。

https://t.co/JEeGwkMhvV

https://t.co/TkUailkyar

https://t.co/4cLjS0o…",19.054999,72.8692035,High
2025-09-20 11:40:51+00:00,Mumbai,Mumbai,@coinbureau $1.6B about to flood back into the market? This is a massive liquidity event.,19.054999,72.8692035,High
2025-09-20 11:40:44+00:00,Mumbai,Mumbai,mukhang mas ipagkakatiwala ko pa yung flood control project sa kanila kesa sa dpwh HAHSHAHA https://t.co/q3PtAEDxKy,19.054999,72.8692035,High
2025-09-20 11:40:44+00:00,Mumbai,Mumbai,"RT @RahulGandhi: बाढ़ ने पंजाब में भीषण तबाही मचाई है।

आज घोनेवाल में गांववासियों से मिला - उजड़े आशियाने, बर्बाद खेत, बिखरी ज़िंदगियां। द…",19.054999,72.8692035,Low
2025-09-20 11:40:44+00:00,Mumbai,Mumbai,"RT @Siraj_Rattar123: Food aid alone isn’t enough. Flood victims urgently need healthcare and direct financial support.
We urge the governme…",19.054999,72.8692035,High
2025-09-20 11:40:44+00:00,Mumbai,Mumbai,"RT @UNITEDofficial: 本日解禁‼️

12/28(日)渋谷CYCLONE
UNITED x SHIBUYA CYCLONE pre. 
END OF YEAR PARTY 2025

UNITED
BATCAVE -special guest-

open18…",19.054999,72.8692035,High
2025-09-20 11:40:43+00:00,Mumbai,Mumbai,RT @YemenMiltary: Watch the renewed human flood in the mass rally (With Gaza.. We will not accept the shame of betrayal no matter the crime…,19.054999,72.8692035,Medium
2025-09-20 11:40:43+00:00,Mumbai,Mumbai,"RT @Vtxt21: Flood Victim : we have lost everything, we need help

Kangana Ranaut : I have a Restaurant here, yesterday only ₹50 business ha…",19.054999,72.8692035,High
2025-09-20 11:40:42+00:00,Mumbai,Mumbai,"RT @BMTheEquityDesk: H1B Visa fees is no problem. Over the next two decades India will have a tsunami of jobs of its own!

Let’s plan for 2…",19.054999,72.8692035,Medium
2025-09-20 11:40:40+00:00,Mumbai,Mumbai,RT @BhagwantMann: आज चंडीगढ़ निवास पर पहुँचे यूनियन बैंक ऑफ़ इंडिया के उच्च अधिकारियों ने 'मिशन चढ़दीकला' में 2 करोड़ रुपए का चेक सौंपकर इस…,19.054999,72.8692035,Medium
2025-09-20 11:40:40+00:00,Mumbai,Mumbai,"RT @BorisJohnson: The wettest generation since the Flood! Today's youth are too scared to drive, drink and many don't have sex. And they're…",19.054999,72.8692035,Low
2025-09-20 11:40:39+00:00,Mumbai,Mumbai,"RT @Chimpteshwar: All Time Fastest 1cr advance gross in Hyderabad 😭💥💥🔥

Human Tsunami @PawanKalyan 🛐🙏

#TheyCallHimOG https://t.co/pL3wdIyw…",19.054999,72.8692035,High
2025-09-20 11:40:38+00:00,Mumbai,Mumbai,"RT @sanewsdelhi: 🌊 बाढ़ से जूझते मण्ढ़ाणा गाँव को संत रामपाल जी महाराज का साथ मिला 🙌 ₹20 लाख⭐✨+ की मदद 

📌🙏 गाँववालों ने संत रामपाल जी महा…",19.054999,72.8692035,High
2025-09-20 11:40:37+00:00,Mumbai,Mumbai,"RT @filmlerx: ""Yalnız"" izlenecek 25 film. İzlerken KALKTI MI İNMEZ 😉

Flood 🧵 https://t.co/R0pJbwGdnF",19.054999,72.8692035,Low
2025-09-20 11:40:37+00:00,Mumbai,Mumbai,"RT @Sargon_of_Akkad: @Keir_Starmer You are a traitor, a student communist, and a man totally out of his depth. You are taxing us to ruin an…",19.054999,72.8692035,High
2025-09-20 11:40:36+00:00,Mumbai,Mumbai,"RT @mktyaggi: शाहरुख और मुबारक ने एक फूड डिलीवरी एजेंट को बुरी तरह पीटा, जबकि उसने समझाया था कि बारिश की वजह से डिलीवरी में देर हुई।
 नस्ल…",19.054999,72.8692035,High
2025-09-20 11:40:36+00:00,Mumbai,Mumbai,"RT @EricLDaugh: 🚨 BREAKING: Conservatives are now countering a left-wing attempt to flood the phones of Nexstar CEO Perry Sook with hate, w…",19.054999,72.8692035,High
